CUENTA : 8328	 RFC INCORRECTO 
CUENTA : 6655	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6665	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6678	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6679	 EL ESTADO ES REQUERIDO 
CUENTA : 6684	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6702	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6704	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6741	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 6763	 EL ESTADO ES REQUERIDO 
CUENTA : 6785	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6788	 EL ESTADO ES REQUERIDO 
CUENTA : 6840	 EL ESTADO ES REQUERIDO 
CUENTA : 6863	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6894	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6900	 LA CIUDAD ES REQUERIDA 
CUENTA : 6927	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6995	 EL ESTADO ES REQUERIDO 
CUENTA : 6997	 LA COLONIA ES REQUERIDA 
CUENTA : 7012	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7067	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 7160	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7172	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7196	 EL ESTADO ES REQUERIDO 
CUENTA : 7236	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7269	 EL ESTADO ES REQUERIDO 
CUENTA : 7271	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7275	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7276	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7285	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7289	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7310	 EL ESTADO ES REQUERIDO 
CUENTA : 7323	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7340	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7349	 NO TIENE UN RFC VALIDO 
CUENTA : 7360	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7374	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7395	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7408	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7448	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7456	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7462	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7471	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7475	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7529	 TIENE EL RFC :GLI 020320MF8 NO VALIDO!
CUENTA : 7536	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 7539	 EL ESTADO ES REQUERIDO 
CUENTA : 7579	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7593	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7627	 LA CIUDAD ES REQUERIDA 
CUENTA : 7629	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7631	 EL ESTADO ES REQUERIDO 
CUENTA : 7636	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7646	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7650	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7666	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7680	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7692	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7695	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7734	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7754	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7763	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7769	 LA CIUDAD ES REQUERIDA 
CUENTA : 7799	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7847	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7868	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7873	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7874	 EL ESTADO ES REQUERIDO 
CUENTA : 7932	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7951	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 7954	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 7969	 EL ESTADO ES REQUERIDO 
CUENTA : 8016	 TIENE EL RFC :DAFO30127BW3 NO VALIDO!
CUENTA : 8074	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8080	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8087	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8120	 LA COLONIA ES REQUERIDA 
CUENTA : 8121	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8124	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8140	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 8141	 TIENE EL RFC :SALE790611S25 NO VALIDO!
CUENTA : 8145	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8149	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8157	 EL ESTADO ES REQUERIDO 
CUENTA : 8179	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8224	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8236	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 8238	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8276	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8284	 EL ESTADO ES REQUERIDO 
CUENTA : 8312	 EL ESTADO ES REQUERIDO 
CUENTA : 8339	 TIENE EL RFC :XAXA01010100 NO VALIDO!
CUENTA : 8352	 TIENE EL RFC :XXX000000XXX NO VALIDO!
CUENTA : 8355	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8362	 EL ESTADO ES REQUERIDO 
CUENTA : 8363	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8408	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 8428	 EL ESTADO ES REQUERIDO 
CUENTA : 8452	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8480	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 8484	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8520	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8521	 EL ESTADO ES REQUERIDO 
CUENTA : 8526	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8540	 TIENE EL RFC :DIM 971202312 NO VALIDO!
CUENTA : 8633	 EL ESTADO ES REQUERIDO 
CUENTA : 8638	 TIENE EL RFC :RORA7107308M8 NO VALIDO!
CUENTA : 8670	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 8675	 EL ESTADO ES REQUERIDO 
CUENTA : 8727	 EL ESTADO ES REQUERIDO 
CUENTA : 8741	 EL ESTADO ES REQUERIDO 
CUENTA : 8754	 EL ESTADO ES REQUERIDO 
CUENTA : 8790	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8791	 EL ESTADO ES REQUERIDO 
CUENTA : 8861	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8901	 TIENE EL RFC :CMA 000911160 NO VALIDO!
CUENTA : 8910	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8914	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8937	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8939	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 8943	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8946	 EL ESTADO ES REQUERIDO 
CUENTA : 8951	 NO TIENE UN RFC VALIDO 
CUENTA : 8984	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 8988	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9014	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 9044	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9054	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9060	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9077	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9156	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9158	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9167	 EL ESTADO ES REQUERIDO 
CUENTA : 9203	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9209	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9212	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9278	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9288	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9292	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9305	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9319	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9347	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9348	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9367	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9375	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9377	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9382	 TIENE EL RFC :TMD 100616EA4 NO VALIDO!
CUENTA : 9390	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9405	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9421	 TIENE EL RFC :OHR 080828R77 NO VALIDO!
CUENTA : 9424	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 9427	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 9621	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9648	 EL ESTADO ES REQUERIDO 
CUENTA : 9656	 EL ESTADO ES REQUERIDO 
CUENTA : 9664	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9675	 LA COLONIA ES REQUERIDA 
CUENTA : 9706	 EL ESTADO ES REQUERIDO 
CUENTA : 9776	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9812	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9817	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9831	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9837	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9842	 LA CIUDAD ES REQUERIDA 
CUENTA : 9861	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 9949	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 22	 EL ESTADO NO ES VALIDO
CUENTA : 24	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 40	 EL CAMPO FECHA ULTIMO PAGO ESTA VACIO
CUENTA : 47	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 54	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 77	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 80	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 94	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 95	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 117	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 152	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 173	 NOMBRE NO ES VALIDO
CUENTA : 214	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 220	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 226	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 229	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 233	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 277	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 314	 NOMBRE NO ES VALIDO
CUENTA : 325	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 328	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 352	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 361	 EL ESTADO NO ES VALIDO
CUENTA : 368	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 370	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 385	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 400	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 430	 EL ESTADO NO ES VALIDO
CUENTA : 505	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 510	 EL ESTADO NO ES VALIDO
CUENTA : 526	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 563	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 574	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 582	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 584	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 598	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 601	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 603	 EL ESTADO NO ES VALIDO
CUENTA : 611	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 643	 EL ESTADO NO ES VALIDO
CUENTA : 647	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 667	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 671	 EL ESTADO NO ES VALIDO
CUENTA : 679	 EL ESTADO NO ES VALIDO
CUENTA : 682	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 685	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 688	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 689	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 697	 NOMBRE NO ES VALIDO
CUENTA : 713	 EL ESTADO NO ES VALIDO
CUENTA : 718	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 721	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 733	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 741	 EL RFC NO ES VALIDO
CUENTA : 749	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 750	 EL ESTADO NO ES VALIDO
CUENTA : 752	 EL ESTADO NO ES VALIDO
CUENTA : 754	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 760	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 772	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 784	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 803	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 806	 EL ESTADO NO ES VALIDO
CUENTA : 809	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 821	 EL RFC NO ES VALIDO
CUENTA : 844	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 848	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 853	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 863	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 865	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 866	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 901	 EL ESTADO NO ES VALIDO
CUENTA : 915	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 919	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 951	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 955	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 957	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 960	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 969	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 971	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 984	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1008	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1022	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1048	 EL ESTADO NO ES VALIDO
CUENTA : 1057	 EL ESTADO NO ES VALIDO
CUENTA : 1066	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1096	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1123	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1136	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1157	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1161	 NOMBRE NO ES VALIDO
CUENTA : 1178	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1185	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1196	 EL ESTADO NO ES VALIDO
CUENTA : 1200	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1204	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1233	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1237	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1238	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 1244	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1250	 NOMBRE NO ES VALIDO
CUENTA : 1277	 EL ESTADO NO ES VALIDO
CUENTA : 1289	 EL RFC NO ES VALIDO
CUENTA : 1292	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1306	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1314	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1320	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1341	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1365	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1413	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1430	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1433	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1471	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1474	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1485	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1493	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1509	 NOMBRE NO ES VALIDO
CUENTA : 1512	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1516	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1530	 EL ESTADO NO ES VALIDO
CUENTA : 1538	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1549	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1571	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1574	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1576	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1581	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1590	 EL ESTADO NO ES VALIDO
CUENTA : 1592	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1595	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1606	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1625	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1626	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1630	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1637	 EL ESTADO NO ES VALIDO
CUENTA : 1643	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1655	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1661	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1718	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1735	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1785	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1797	 NOMBRE NO ES VALIDO
CUENTA : 1798	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1839	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1842	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1854	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1880	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 1901	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 1916	 EL RFC NO ES VALIDO
CUENTA : 1932	 EL ESTADO NO ES VALIDO
CUENTA : 1968	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 1994	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2015	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2025	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2039	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2052	 EL CAMPO FECHA DE APERTURA DE CUENTA ESTA VACIO
CUENTA : 2057	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2063	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 2067	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2068	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2073	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2086	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2120	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 2160	 EL ESTADO NO ES VALIDO
CUENTA : 2168	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2172	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2186	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2282	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 2301	 EL CAMPO FECHA ULTIMO PAGO ESTA VACIO
CUENTA : 2302	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2309	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2312	 EL ESTADO NO ES VALIDO
CUENTA : 2315	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2337	 EL ESTADO NO ES VALIDO
CUENTA : 2386	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2401	 EL CAMPO FECHA ULTIMO PAGO ESTA VACIO
CUENTA : 2420	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2456	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 2457	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2462	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 2481	 EL ESTADO NO ES VALIDO
CUENTA : 2483	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 2501	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 2505	 EL ESTADO NO ES VALIDO
CUENTA : 2513	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2527	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2528	 EL ESTADO NO ES VALIDO
CUENTA : 2544	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2553	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2561	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2574	 EL ESTADO NO ES VALIDO
CUENTA : 2576	 EL ESTADO NO ES VALIDO
CUENTA : 2578	 EL ESTADO NO ES VALIDO
CUENTA : 2595	 EL APELLIDO PATERNO NO ES VALIDO
CUENTA : 2599	 EL ESTADO NO ES VALIDO
CUENTA : 2612	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2615	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2623	 EL ESTADO NO ES VALIDO
CUENTA : 2634	 EL APELLIDO DEBE CONTENER MAS DE 2 CARACTERES
CUENTA : 2646	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2648	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2656	 EL CAMPO FECHA ULTIMO PAGO ESTA VACIO
CUENTA : 2671	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2679	 EL CODIGO POSTAL NO ES VALIDO
CUENTA : 2694	 EL APELLIDO MATERNO NO ES VALIDO
CUENTA : 2722	 CONTIENE UN CARACTER NO VALIDO EN EL CAMPO 
CUENTA : 2725	 EL ESTADO NO ES VALIDO
CUENTA : 2729	 EL APELLIDO PATERNO NO ES VALIDO
